['id', 'fullName', 'teamName', 'assists', 'goals', 'pim', 'shots', 'games', 'powerPlayGoals', 'powerPlayPoints', 'penaltyMinutes', 'shotPct', 'gameWinningGoals', 'overTimeGoals', 'shortHandedGoals', 'shortHandedPoints', 'plusMinus', 'points']
[8448356, 'Jimmy Roberts', 'St. Louis Blues', 18, 13, 77, 123, 72, 2, 6, '77', 10.57, 0, 0, 1, 4, 8, 31]
[8448613, 'Gary Sabourin', 'St. Louis Blues', 17, 14, 56, 160, 59, 2, 4, '56', 8.75, 2, 0, 0, 0, 4, 31]
[8448966, 'Brit Selby', 'St. Louis Blues', 5, 1, 29, 40, 64, 0, 1, '29', 2.5, 0, 0, 0, 0, -14, 6]
[8449143, 'Frank St. Marseille', 'St. Louis Blues', 32, 19, 26, 217, 77, 3, 15, '26', 8.76, 5, 0, 0, 0, 4, 51]
[8449207, 'Bill Sutherland', 'St. Louis Blues', 20, 19, 41, 106, 69, 11, 18, '41', 17.92, 3, 0, 0, 1, 2, 39]
[8449214, 'Jean-Guy Talbot', 'St. Louis Blues', 7, 0, 42, 44, 62, 0, 0, '42', 0.0, 0, 0, 0, 0, -24, 7]
[8449321, 'Bob Wall', 'St. Louis Blues', 4, 2, 4, 29, 25, 1, 1, '4', 6.9, 0, 0, 0, 0, 0, 6]
[8449706, 'George Morrison', 'St. Louis Blues', 10, 15, 6, 122, 73, 3, 4, '6', 12.3, 1, 0, 0, 0, -1, 25]
[8452086, 'Garry Unger', 'St. Louis Blues', 28, 28, 104, 279, 79, 7, 18, '104', 10.04, 4, 0, 0, 0, -36, 56]
[8446642, 'Terry Gray', 'St. Louis Blues', 0, 0, 0, 0, 0, 0, 0, 0, 0, '0:00', '0:00', 0, 0, 0, 0, 0, 0, 0, '0:00', 0, 0, 0, 0, '0:00', '0:00', '0:00', '0:00']
[8444966, 'John Arbour', 'Vancouver Canucks', 6, 1, 93, 66, 66, 0, 0, '93', 1.52, 0, 0, 0, 0, -5, 7]
[8445100, 'Ken Block', 'Vancouver Canucks', 0, 0, 0, 0, 1, 0, 0, '0', 0, 0, 0, 0, 0, -1, 0]
[8445137, 'Andre Boudrias', 'Vancouver Canucks', 41, 25, 16, 254, 77, 7, 17, '16', 9.84, 2, 0, 1, 2, 14, 66]
[8445530, 'Bob Cook', 'Vancouver Canucks', 0, 0, 0, 2, 2, 0, 0, '0', 0.0, 0, 0, 0, 0, 0, 0]
[8445614, 'Mike Corrigan', 'Vancouver Canucks', 28, 21, 103, 164, 76, 5, 13, '103', 12.8, 1, 0, 0, 0, -21, 49]
[8445827, 'Ray Cullen', 'Vancouver Canucks', 21, 12, 42, 114, 70, 4, 13, '42', 10.53, 3, 0, 0, 0, -27, 33]
