id,fullName,teamName,assists,goals,pim,shots,games,powerPlayGoals,powerPlayPoints,penaltyMinutes,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,plusMinus,points
8445070,Gary Bergman,Detroit Red Wings,7,4,85,59,58,0,0,85,6.78,2,0,0,0,4,11
8445865,Alex Delvecchio,Detroit Red Wings,42,25,16,259,68,6,26,16,9.65,7,0,0,2,10,67
8445906,Bob Dillabough,Detroit Red Wings,0,0,2,1,4,0,0,2,0.0,0,0,0,0,-3,0
8446342,Val Fonteyne,Detroit Red Wings,6,2,6,33,43,0,2,6,6.06,0,0,1,2,-2,8
8446513,Bill Gadsby,Detroit Red Wings,12,0,122,63,61,0,0,122,0.0,0,0,0,1,21,12
8446599,Warren Godfrey,Detroit Red Wings,0,0,8,9,11,0,0,8,0.0,0,0,0,0,4,0
8446601,Pete Goegan,Detroit Red Wings,0,1,2,4,4,0,0,2,25.0,0,0,0,0,2,1
8447051,Larry Jeffrey,Detroit Red Wings,2,4,48,51,41,0,0,48,7.84,2,0,0,0,-3,6
8447117,Eddie Joyal,Detroit Red Wings,14,8,4,81,46,0,2,4,9.88,1,0,0,0,8,22
8447274,Claude Laforge,Detroit Red Wings,0,0,2,1,1,0,0,2,0.0,0,0,0,0,0,0
8447322,Al Langlois,Detroit Red Wings,12,1,107,78,66,0,1,107,1.28,0,0,1,1,21,13
8447496,Ted Hampson,Detroit Red Wings,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8447500,Ted Lindsay,Detroit Red Wings,14,14,173,105,69,1,5,173,13.33,1,0,0,0,10,28
8447536,Lowell MacDonald,Detroit Red Wings,1,2,0,11,9,1,1,0,18.18,0,0,0,0,1,3
8447537,Parker MacDonald,Detroit Red Wings,33,13,38,169,69,6,17,38,7.69,1,0,0,0,16,46
8447540,Bruce MacGregor,Detroit Red Wings,20,21,19,119,66,3,5,19,17.65,4,0,1,1,12,41
8447579,John MacMillan,Detroit Red Wings,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1
8447627,Pit Martin,Detroit Red Wings,9,8,32,85,58,1,2,32,9.41,1,0,1,1,-1,17
8447730,Paul Henderson,Detroit Red Wings,13,8,30,124,70,0,3,30,6.45,1,0,0,2,3,21
8447921,Ron Murphy,Detroit Red Wings,19,20,32,143,58,10,16,32,13.99,2,0,0,0,1,39
8448000,Gordie Howe,Detroit Red Wings,47,29,104,341,70,13,33,104,8.5,2,0,3,3,22,76
8448099,Butch Paul,Detroit Red Wings,0,0,0,8,3,0,0,0,0.0,0,0,0,0,-1,0
8448137,Jimmy Peters,Detroit Red Wings,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0
8448213,Andre Pronovost,Detroit Red Wings,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1
8448214,Marcel Pronovost,Detroit Red Wings,15,1,45,98,68,0,1,45,1.02,1,0,0,0,24,16
8449074,Floyd Smith,Detroit Red Wings,29,16,40,186,67,6,17,40,8.6,5,0,1,1,11,45
8449274,Norm Ullman,Detroit Red Wings,41,42,70,251,70,10,27,70,16.73,10,0,1,3,15,83
8449321,Bob Wall,Detroit Red Wings,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8449370,Jim Watson,Detroit Red Wings,0,0,2,1,1,0,0,2,0.0,0,0,0,0,2,0
