id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,PDO
11,Atlanta Thrashers,82,34,40,8,76,46.3,2.524,3.244,0.7356,16.5,52.0,75.0,316.0,78.8,25.7927,33.9268,0.588,0.292,0.7,0.727,0.6,0.379,4766.0,2467.0,2299.0,51.8,9.8,0.904,1.002
12,Carolina Hurricanes,82,43,33,6,92,56.1,3.049,3.0,1.089,18.8,79.0,75.0,420.0,78.9,32.5488,28.878,0.743,0.362,0.793,0.865,0.596,0.37,5018.0,2479.0,2539.0,49.4,9.4,0.896,0.99
13,Florida Panthers,82,38,35,9,85,51.8,2.573,2.683,0.9714,19.2,60.0,66.0,313.0,82.3,31.0854,33.5732,0.641,0.302,0.645,0.724,0.483,0.442,4898.0,2390.0,2508.0,48.8,8.3,0.92,1.0030000000000001
14,Tampa Bay Lightning,82,31,42,9,71,43.3,2.695,3.244,0.7624,19.3,57.0,56.0,296.0,82.0,28.7073,28.1951,0.579,0.205,0.75,0.742,0.366,0.41,4590.0,2283.0,2307.0,49.7,9.4,0.885,0.979
15,Washington Capitals,82,43,31,8,94,57.3,2.902,2.768,1.0643,18.8,65.0,68.0,346.0,80.5,30.9512,27.5488,0.698,0.333,0.724,0.9,0.519,0.56,4734.0,2422.0,2312.0,51.2,9.4,0.9,0.994
16,Chicago Blackhawks,82,40,34,8,88,53.7,2.854,2.817,1.0507,15.9,58.0,69.0,365.0,82.1,28.0244,28.6098,0.644,0.297,0.8,0.931,0.425,0.5,4459.0,2334.0,2125.0,52.3,10.2,0.902,1.004
17,Detroit Red Wings,82,54,21,7,115,70.1,3.073,2.183,1.4057,20.7,81.0,57.0,391.0,84.0,34.3902,23.5366,0.86,0.344,0.897,0.9,0.714,0.25,4573.0,2436.0,2137.0,53.3,8.9,0.907,0.996
18,Nashville Predators,82,41,32,9,91,55.5,2.768,2.732,1.0133,14.8,53.0,49.0,358.0,85.4,29.5732,29.7561,0.773,0.184,0.8,0.929,0.487,0.513,4764.0,2406.0,2358.0,50.5,9.4,0.908,1.002
19,St. Louis Blues,82,33,36,13,79,48.2,2.463,2.829,0.9448,14.1,47.0,56.0,334.0,84.4,26.1098,27.4268,0.575,0.238,0.762,0.815,0.406,0.404,4610.0,2390.0,2220.0,51.8,9.4,0.897,0.991
20,Calgary Flames,82,42,30,10,94,57.3,2.756,2.732,1.0741,16.8,59.0,72.0,352.0,81.5,28.2439,28.4756,0.659,0.342,0.773,0.8,0.486,0.525,4733.0,2344.0,2389.0,49.5,9.8,0.904,1.002
21,Colorado Avalanche,82,44,31,7,95,57.9,2.732,2.634,1.1571,14.6,49.0,56.0,335.0,81.4,28.6463,27.2805,0.811,0.311,0.778,0.875,0.596,0.452,4495.0,2148.0,2347.0,47.8,9.5,0.903,0.998
22,Edmonton Oilers,82,41,35,6,88,53.7,2.683,3.012,0.8639,16.6,57.0,56.0,344.0,84.7,26.2927,31.378,0.75,0.304,0.696,0.828,0.44,0.536,4601.0,2323.0,2278.0,50.5,10.2,0.904,1.006
23,Vancouver Canucks,82,39,33,10,88,53.7,2.524,2.512,1.0,17.1,63.0,64.0,369.0,82.6,27.4634,28.8659,0.714,0.225,0.692,0.931,0.529,0.419,4558.0,2219.0,2339.0,48.7,9.2,0.913,1.0050000000000001
24,Anaheim Ducks,82,47,27,8,102,62.2,2.402,2.244,1.17,16.6,60.0,69.0,361.0,83.1,27.3293,28.0488,0.788,0.429,0.821,0.909,0.694,0.439,4625.0,2320.0,2305.0,50.2,8.8,0.92,1.008
25,Dallas Stars,82,45,30,7,97,59.1,2.89,2.488,1.1136,18.1,64.0,51.0,354.0,85.6,26.6707,26.061,0.625,0.476,0.704,0.775,0.636,0.472,4321.0,2178.0,2143.0,50.4,10.8,0.905,1.0130000000000001
26,Los Angeles Kings,82,32,43,7,71,43.3,2.756,3.207,0.8057,17.4,64.0,68.0,367.0,78.0,28.6463,32.0122,0.515,0.306,0.565,0.917,0.375,0.407,4594.0,2197.0,2397.0,47.8,9.6,0.9,0.996
27,Phoenix Coyotes,82,38,37,7,83,50.6,2.549,2.744,0.8913,18.6,63.0,64.0,339.0,80.7,30.4878,30.7073,0.771,0.234,0.7,0.818,0.538,0.4,4732.0,2301.0,2431.0,48.6,8.4,0.911,0.995
28,San Jose Sharks,82,49,23,10,108,65.9,2.634,2.28,1.0738,18.7,70.0,44.0,374.0,85.8,29.6098,24.1585,0.679,0.423,0.667,0.921,0.649,0.476,4256.0,2178.0,2078.0,51.2,8.9,0.906,0.995
29,Columbus Blue Jackets,82,34,36,12,80,48.8,2.317,2.561,0.8968,14.9,53.0,63.0,356.0,83.3,29.0366,27.4268,0.676,0.2,0.778,0.857,0.4,0.441,4630.0,2420.0,2210.0,52.3,8.0,0.907,0.987
30,Minnesota Wild,82,44,28,10,98,59.8,2.683,2.561,0.9722,18.9,64.0,49.0,338.0,85.2,27.0488,30.1098,0.8,0.216,0.767,0.889,0.5,0.6,4609.0,2180.0,2429.0,47.3,9.9,0.915,1.014
