id,teamName,gamesPlayed,wins,losses,ot,pts,ptPctg,goalsPerGame,goalsAgainstPerGame,evGGARatio,powerPlayPercentage,powerPlayGoals,powerPlayGoalsAgainst,powerPlayOpportunities,penaltyKillPercentage,shotsPerGame,shotsAllowed,winScoreFirst,winOppScoreFirst,winLeadFirstPer,winLeadSecondPer,winOutshootOpp,winOutshotByOpp,faceOffsTaken,faceOffsWon,faceOffsLost,faceOffWinPercentage,shootingPctg,savePctg,PDO
14,Tampa Bay Lightning,82,46,22,6,106,64.6,2.988,2.341,1.2778,16.2,55.0,42.0,339.0,84.8,30.0,25.4268,0.68,0.375,0.794,0.842,0.519,0.654,5171.0,2585.0,2586.0,50.0,10.0,0.908,1.008
15,Washington Capitals,82,23,46,3,59,36.0,2.268,3.085,0.6752,19.2,64.0,75.0,334.0,81.3,23.7317,31.5366,0.472,0.13,0.737,0.87,0.25,0.27,5108.0,2502.0,2606.0,49.0,9.6,0.902,0.998
16,Chicago Blackhawks,82,20,43,8,59,36.0,2.293,3.159,0.6994,15.8,55.0,63.0,349.0,83.4,29.2805,30.7439,0.333,0.184,0.45,0.56,0.171,0.286,5456.0,2693.0,2763.0,49.4,7.8,0.897,0.975
17,Detroit Red Wings,82,48,21,2,109,66.5,3.11,2.305,1.2558,20.1,63.0,42.0,314.0,86.7,30.2927,26.2317,0.787,0.314,0.75,0.841,0.551,0.643,5259.0,2763.0,2496.0,52.5,10.3,0.912,1.0150000000000001
18,Nashville Predators,82,38,29,4,91,55.5,2.634,2.646,0.9583,16.9,72.0,64.0,426.0,81.7,27.1585,28.4756,0.61,0.317,0.69,0.778,0.424,0.468,5414.0,2645.0,2769.0,48.9,9.7,0.907,1.004
19,St. Louis Blues,82,39,30,2,91,55.5,2.329,2.415,0.8729,17.9,61.0,57.0,341.0,84.5,27.1098,25.6463,0.619,0.325,0.767,0.818,0.528,0.385,5237.0,2615.0,2622.0,49.9,8.6,0.906,0.992
20,Calgary Flames,82,42,30,3,94,57.3,2.439,2.146,1.1238,15.1,54.0,53.0,357.0,84.6,27.4146,25.4878,0.707,0.317,0.952,0.818,0.523,0.471,5548.0,2812.0,2736.0,50.7,8.9,0.916,1.0050000000000001
21,Colorado Avalanche,82,40,22,7,100,61.0,2.878,2.415,1.2301,20.4,74.0,58.0,363.0,83.7,29.4024,28.3537,0.596,0.343,0.677,0.8,0.511,0.5,5401.0,2701.0,2700.0,50.0,9.8,0.915,1.0130000000000001
22,Edmonton Oilers,82,36,29,5,89,54.3,2.695,2.537,1.2231,13.0,44.0,66.0,338.0,81.0,28.439,26.5244,0.657,0.277,0.652,0.889,0.415,0.5,5303.0,2699.0,2604.0,50.9,9.5,0.904,0.999
23,Vancouver Canucks,82,43,24,5,101,61.6,2.866,2.366,1.256,15.0,56.0,50.0,374.0,85.9,29.0122,26.622,0.646,0.353,0.594,0.867,0.523,0.529,5365.0,2747.0,2618.0,51.2,9.9,0.911,1.01
24,Anaheim Ducks,82,29,35,8,76,46.3,2.244,2.598,0.8143,18.1,56.0,54.0,310.0,84.7,29.7317,29.7927,0.526,0.205,0.556,0.792,0.361,0.341,5208.0,2882.0,2326.0,55.3,7.5,0.913,0.988
25,Dallas Stars,82,41,26,2,97,59.1,2.366,2.134,1.1351,15.8,52.0,44.0,328.0,85.8,26.7805,23.1951,0.732,0.268,0.857,0.818,0.577,0.346,5052.0,2597.0,2455.0,51.4,8.8,0.908,0.996
26,Los Angeles Kings,82,28,29,9,81,49.4,2.5,2.646,1.0313,14.0,50.0,65.0,356.0,80.6,28.6463,26.9878,0.545,0.105,0.481,0.727,0.395,0.257,5537.0,2829.0,2708.0,51.1,8.7,0.902,0.989
27,Phoenix Coyotes,82,22,36,6,68,41.5,2.293,2.988,0.7517,14.2,51.0,71.0,358.0,82.1,26.4756,30.561,0.444,0.13,0.45,0.737,0.261,0.291,5288.0,2587.0,2701.0,48.9,8.7,0.902,0.989
28,San Jose Sharks,82,43,21,6,104,63.4,2.671,2.232,1.188,16.6,56.0,47.0,337.0,85.2,28.0488,28.939,0.667,0.351,0.694,0.872,0.556,0.523,5432.0,2632.0,2800.0,48.5,9.5,0.923,1.018
29,Columbus Blue Jackets,82,25,45,4,62,37.8,2.159,2.902,0.6519,14.5,58.0,50.0,401.0,85.1,27.8049,31.9878,0.405,0.222,0.692,0.76,0.48,0.245,5471.0,2615.0,2856.0,47.8,7.8,0.909,0.987
30,Minnesota Wild,82,30,29,3,83,50.6,2.293,2.232,1.0333,13.6,46.0,44.0,338.0,84.4,24.1707,29.061,0.478,0.222,0.516,0.625,0.458,0.34,5330.0,2487.0,2843.0,46.7,9.5,0.923,1.018
